Chr	width	gene_id	gene_name	gene_biotype	type	GENEID
1	171051	ENSSSCG00000004249	CEP85L	protein_coding	gene	ENSSSCG00000004249
1	148805	ENSSSCG00000005288	TLE4	protein_coding	gene	ENSSSCG00000005288
1	100313	ENSSSCG00000035934	TXNDC16	protein_coding	gene	ENSSSCG00000035934
1	4415	ENSSSCG00000044405	ENSSSCG00000044405	protein_coding	gene	ENSSSCG00000044405
1	9572	ENSSSCG00000062089	PLN	protein_coding	gene	ENSSSCG00000062089
1	58208	ENSSSCG00000005036	GPR137C	protein_coding	gene	ENSSSCG00000005036
1	13629	ENSSSCG00000004241	GJA1	protein_coding	gene	ENSSSCG00000004241
1	52935	ENSSSCG00000005037	ERO1A	protein_coding	gene	ENSSSCG00000005037
1	207538	ENSSSCG00000004242	TBC1D32	protein_coding	gene	ENSSSCG00000004242
1	1033	ENSSSCG00000035799	ENSSSCG00000035799	protein_coding	gene	ENSSSCG00000035799
1	422	ENSSSCG00000044458	ENSSSCG00000044458	protein_coding	gene	ENSSSCG00000044458
1	92751	ENSSSCG00000005291	TLE1	protein_coding	gene	ENSSSCG00000005291
1	26438	ENSSSCG00000005038	PSMC6	protein_coding	gene	ENSSSCG00000005038
1	2036	ENSSSCG00000028308	ENSSSCG00000028308	protein_coding	gene	ENSSSCG00000028308
1	110242	ENSSSCG00000004245	FAM184A	protein_coding	gene	ENSSSCG00000004245
1	192771	ENSSSCG00000033805	ENSSSCG00000033805	protein_coding	gene	ENSSSCG00000033805
1	7243	ENSSSCG00000037497	ENSSSCG00000037497	protein_coding	gene	ENSSSCG00000037497
1	302410	ENSSSCG00000033763	GNAQ	protein_coding	gene	ENSSSCG00000033763
1	153832	ENSSSCG00000004344	MMS22L	protein_coding	gene	ENSSSCG00000004344
1	34745	ENSSSCG00000005286	CEP78	protein_coding	gene	ENSSSCG00000005286
1	94972	ENSSSCG00000004274	COL9A1	protein_coding	gene	ENSSSCG00000004274
1	50176	ENSSSCG00000005039	STYX	protein_coding	gene	ENSSSCG00000005039
1	16213	ENSSSCG00000005040	GNPNAT1	protein_coding	gene	ENSSSCG00000005040
1	183931	ENSSSCG00000004250	SLC35F1	protein_coding	gene	ENSSSCG00000004250
1	29736	ENSSSCG00000005287	PSAT1	protein_coding	gene	ENSSSCG00000005287
1	87186	ENSSSCG00000005041	FERMT2	protein_coding	gene	ENSSSCG00000005041
1	29417	ENSSSCG00000020885	NUS1	protein_coding	gene	ENSSSCG00000020885
1	31512	ENSSSCG00000058846	ENSSSCG00000058846	protein_coding	gene	ENSSSCG00000058846
1	25178	ENSSSCG00000004252	ENSSSCG00000004252	protein_coding	gene	ENSSSCG00000004252
1	8418	ENSSSCG00000043640	ENSSSCG00000043640	protein_coding	gene	ENSSSCG00000043640
1	47816	ENSSSCG00000004253	GOPC	protein_coding	gene	ENSSSCG00000004253
1	5729	ENSSSCG00000049009	ENSSSCG00000049009	protein_coding	gene	ENSSSCG00000049009
1	3423	ENSSSCG00000044799	ENSSSCG00000044799	protein_coding	gene	ENSSSCG00000044799
1	111671	ENSSSCG00000004364	HACE1	protein_coding	gene	ENSSSCG00000004364
1	86780	ENSSSCG00000005043	DDHD1	protein_coding	gene	ENSSSCG00000005043
1	97013	ENSSSCG00000004254	DCBLD1	protein_coding	gene	ENSSSCG00000004254
1	124524	ENSSSCG00000026978	ROS1	protein_coding	gene	ENSSSCG00000026978
1	6492	ENSSSCG00000005045	BMP4	protein_coding	gene	ENSSSCG00000005045
1	16487	ENSSSCG00000005047	CDKN3	protein_coding	gene	ENSSSCG00000005047
1	136967	ENSSSCG00000037612	LIN28B	protein_coding	gene	ENSSSCG00000037612
1	45902	ENSSSCG00000004366	BVES	protein_coding	gene	ENSSSCG00000004366
1	18359	ENSSSCG00000027256	CNIH1	protein_coding	gene	ENSSSCG00000027256
1	41506	ENSSSCG00000045461	ENSSSCG00000045461	protein_coding	gene	ENSSSCG00000045461
1	8386	ENSSSCG00000004255	VGLL2	protein_coding	gene	ENSSSCG00000004255
1	19422	ENSSSCG00000004367	POPDC3	protein_coding	gene	ENSSSCG00000004367
1	58060	ENSSSCG00000039333	RFX6	protein_coding	gene	ENSSSCG00000039333
1	140442	ENSSSCG00000004368	PREP	protein_coding	gene	ENSSSCG00000004368
1	16719	ENSSSCG00000026294	GMFB	protein_coding	gene	ENSSSCG00000026294
1	20266	ENSSSCG00000053030	GPRC6A	protein_coding	gene	ENSSSCG00000053030
1	57703	ENSSSCG00000035648	MANEA	protein_coding	gene	ENSSSCG00000035648
1	7907	ENSSSCG00000038522	FAM162B	protein_coding	gene	ENSSSCG00000038522
1	76954	ENSSSCG00000035259	PHF3	protein_coding	gene	ENSSSCG00000035259
1	26979	ENSSSCG00000021451	CGRRF1	protein_coding	gene	ENSSSCG00000021451
1	6704	ENSSSCG00000038507	RPS29	protein_coding	gene	ENSSSCG00000038507
1	4870	ENSSSCG00000042849	ENSSSCG00000042849	protein_coding	gene	ENSSSCG00000042849
1	118061	ENSSSCG00000004269	ENSSSCG00000004269	protein_coding	gene	ENSSSCG00000004269
1	61881	ENSSSCG00000004339	UFL1	protein_coding	gene	ENSSSCG00000004339
1	13088	ENSSSCG00000005004	LRR1	protein_coding	gene	ENSSSCG00000005004
1	166562	ENSSSCG00000004244	MAN1A1	protein_coding	gene	ENSSSCG00000004244
1	63581	ENSSSCG00000004347	FBXL4	protein_coding	gene	ENSSSCG00000004347
1	80061	ENSSSCG00000004357	SIM1	protein_coding	gene	ENSSSCG00000004357
1	2508	ENSSSCG00000005006	RPL36AL	protein_coding	gene	ENSSSCG00000005006
1	136643	ENSSSCG00000004275	FAM135A	protein_coding	gene	ENSSSCG00000004275
1	1810	ENSSSCG00000035611	MGAT2	protein_coding	gene	ENSSSCG00000035611
1	8935	ENSSSCG00000058931	DNAAF2	protein_coding	gene	ENSSSCG00000058931
1	34683	ENSSSCG00000005008	POLE2	protein_coding	gene	ENSSSCG00000005008
1	325138	ENSSSCG00000004358	ASCC3	protein_coding	gene	ENSSSCG00000004358
1	733279	ENSSSCG00000004270	ADGRB3	protein_coding	gene	ENSSSCG00000004270
1	65082	ENSSSCG00000032489	KLHDC1	protein_coding	gene	ENSSSCG00000032489
1	271523	ENSSSCG00000004990	LRFN5	protein_coding	gene	ENSSSCG00000004990
1	1484	ENSSSCG00000061940	ENSSSCG00000061940	protein_coding	gene	ENSSSCG00000061940
1	48132	ENSSSCG00000004340	FHL5	protein_coding	gene	ENSSSCG00000004340
1	2631	ENSSSCG00000055064	ENSSSCG00000055064	protein_coding	gene	ENSSSCG00000055064
1	28236	ENSSSCG00000005009	KLHDC2	protein_coding	gene	ENSSSCG00000005009
1	62560	ENSSSCG00000035240	GPR63	protein_coding	gene	ENSSSCG00000035240
1	48242	ENSSSCG00000005011	NEMF	protein_coding	gene	ENSSSCG00000005011
1	33405	ENSSSCG00000032312	RAB11A	protein_coding	gene	ENSSSCG00000032312
1	10395	ENSSSCG00000004342	NDUFAF4	protein_coding	gene	ENSSSCG00000004342
1	1329	ENSSSCG00000056101	POU3F2	protein_coding	gene	ENSSSCG00000056101
1	1364	ENSSSCG00000045756	ENSSSCG00000045756	protein_coding	gene	ENSSSCG00000045756
1	4543	ENSSSCG00000005012	ARF6	protein_coding	gene	ENSSSCG00000005012
1	17628	ENSSSCG00000005029	RTRAF	protein_coding	gene	ENSSSCG00000005029
1	116062	ENSSSCG00000005030	NID2	protein_coding	gene	ENSSSCG00000005030
1	381131	ENSSSCG00000004939	MEGF11	protein_coding	gene	ENSSSCG00000004939
1	10840	ENSSSCG00000057054	PTGDR	protein_coding	gene	ENSSSCG00000057054
1	15394	ENSSSCG00000021862	PTGER2	protein_coding	gene	ENSSSCG00000021862
1	78316	ENSSSCG00000005027	FRMD6	protein_coding	gene	ENSSSCG00000005027
1	223054	ENSSSCG00000028092	ENSSSCG00000028092	protein_coding	gene	ENSSSCG00000028092
1	43090	ENSSSCG00000004941	DIS3L	protein_coding	gene	ENSSSCG00000004941
1	18519	ENSSSCG00000004942	TIPIN	protein_coding	gene	ENSSSCG00000004942
1	5773	ENSSSCG00000046948	ENSSSCG00000046948	protein_coding	gene	ENSSSCG00000046948
1	89382	ENSSSCG00000004943	MAP2K1	protein_coding	gene	ENSSSCG00000004943
1	7322	ENSSSCG00000036735	VCPKMT	protein_coding	gene	ENSSSCG00000036735
1	107631	ENSSSCG00000005015	SOS2	protein_coding	gene	ENSSSCG00000005015
1	5317	ENSSSCG00000050792	ENSSSCG00000050792	protein_coding	gene	ENSSSCG00000050792
1	48284	ENSSSCG00000005016	L2HGDH	protein_coding	gene	ENSSSCG00000005016
1	12440	ENSSSCG00000031354	DMAC2L	protein_coding	gene	ENSSSCG00000031354
1	7413	ENSSSCG00000038941	SNAPC5	protein_coding	gene	ENSSSCG00000038941
1	6178	ENSSSCG00000004945	RPL4	protein_coding	gene	ENSSSCG00000004945
1	41908	ENSSSCG00000005787	CTDP1	protein_coding	gene	ENSSSCG00000005787
1	66396	ENSSSCG00000034516	CDKL1	protein_coding	gene	ENSSSCG00000034516
1	105810	ENSSSCG00000027654	NETO1	protein_coding	gene	ENSSSCG00000027654
1	135039	ENSSSCG00000036634	MAP4K5	protein_coding	gene	ENSSSCG00000036634
1	187133	ENSSSCG00000005785	PCSK6	protein_coding	gene	ENSSSCG00000005785
1	45260	ENSSSCG00000004946	ZWILCH	protein_coding	gene	ENSSSCG00000004946
1	5161	ENSSSCG00000048049	ENSSSCG00000048049	protein_coding	gene	ENSSSCG00000048049
1	106582	ENSSSCG00000005020	ATL1	protein_coding	gene	ENSSSCG00000005020
1	11973	ENSSSCG00000005786	SNRPA1	protein_coding	gene	ENSSSCG00000005786
1	3078	ENSSSCG00000051767	ENSSSCG00000051767	protein_coding	gene	ENSSSCG00000051767
1	13617	ENSSSCG00000004947	LCTL	protein_coding	gene	ENSSSCG00000004947
1	78818	ENSSSCG00000004948	SMAD6	protein_coding	gene	ENSSSCG00000004948
1	47402	ENSSSCG00000004971	TLE3	protein_coding	gene	ENSSSCG00000004971
1	28035	ENSSSCG00000005021	SAV1	protein_coding	gene	ENSSSCG00000005021
1	94426	ENSSSCG00000038767	MBP	protein_coding	gene	ENSSSCG00000038767
1	10820	ENSSSCG00000004963	ENSSSCG00000004963	protein_coding	gene	ENSSSCG00000004963
1	112484	ENSSSCG00000005022	NIN	protein_coding	gene	ENSSSCG00000005022
1	23657	ENSSSCG00000032244	SPESP1	protein_coding	gene	ENSSSCG00000032244
1	39436	ENSSSCG00000004966	NOX5	protein_coding	gene	ENSSSCG00000004966
1	114248	ENSSSCG00000026078	GLCE	protein_coding	gene	ENSSSCG00000026078
1	76380	ENSSSCG00000004968	PAQR5	protein_coding	gene	ENSSSCG00000004968
1	99666	ENSSSCG00000005024	PYGL	protein_coding	gene	ENSSSCG00000005024
1	41249	ENSSSCG00000004969	KIF23	protein_coding	gene	ENSSSCG00000004969
1	2170	ENSSSCG00000004970	RPLP1	protein_coding	gene	ENSSSCG00000004970
1	91574	ENSSSCG00000023533	ZNF236	protein_coding	gene	ENSSSCG00000023533
1	126347	ENSSSCG00000004952	SMAD3	protein_coding	gene	ENSSSCG00000004952
1	21168	ENSSSCG00000005023	ABHD12B	protein_coding	gene	ENSSSCG00000005023
1	103239	ENSSSCG00000004859	ZNF516	protein_coding	gene	ENSSSCG00000004859
1	106957	ENSSSCG00000005025	TRIM9	protein_coding	gene	ENSSSCG00000005025
1	97094	ENSSSCG00000004856	NFATC1	protein_coding	gene	ENSSSCG00000004856
1	64931	ENSSSCG00000004951	AAGAB	protein_coding	gene	ENSSSCG00000004951
1	17483	ENSSSCG00000038422	TMX1	protein_coding	gene	ENSSSCG00000038422
1	41911	ENSSSCG00000057448	ENSSSCG00000057448	protein_coding	gene	ENSSSCG00000057448
1	4923	ENSSSCG00000004954	C15orf61	protein_coding	gene	ENSSSCG00000004954
1	823806	ENSSSCG00000005002	MDGA2	protein_coding	gene	ENSSSCG00000005002
1	645	ENSSSCG00000005001	RPL10L	protein_coding	gene	ENSSSCG00000005001
1	282040	ENSSSCG00000004955	MAP2K5	protein_coding	gene	ENSSSCG00000004955
1	2610	ENSSSCG00000061989	ENSSSCG00000061989	protein_coding	gene	ENSSSCG00000061989
1	10694	ENSSSCG00000030679	C14orf28	protein_coding	gene	ENSSSCG00000030679
1	14688	ENSSSCG00000004996	KLHL28	protein_coding	gene	ENSSSCG00000004996
1	76775	ENSSSCG00000027765	TOGARAM1	protein_coding	gene	ENSSSCG00000027765
1	198792	ENSSSCG00000004857	ATP9B	protein_coding	gene	ENSSSCG00000004857
1	10979	ENSSSCG00000004956	SKOR1	protein_coding	gene	ENSSSCG00000004956
1	32029	ENSSSCG00000004997	PRPF39	protein_coding	gene	ENSSSCG00000004997
1	15429	ENSSSCG00000021217	FKBP3	protein_coding	gene	ENSSSCG00000021217
1	130108	ENSSSCG00000004958	PIAS1	protein_coding	gene	ENSSSCG00000004958
1	850	ENSSSCG00000040521	ENSSSCG00000040521	protein_coding	gene	ENSSSCG00000040521
1	66545	ENSSSCG00000005000	FANCM	protein_coding	gene	ENSSSCG00000005000
1	21752	ENSSSCG00000004858	SALL3	protein_coding	gene	ENSSSCG00000004858
1	15965	ENSSSCG00000026517	CALML4	protein_coding	gene	ENSSSCG00000026517
1	474	ENSSSCG00000057943	ENSSSCG00000057943	protein_coding	gene	ENSSSCG00000057943
1	3366	ENSSSCG00000060932	ENSSSCG00000060932	protein_coding	gene	ENSSSCG00000060932
1	19581	ENSSSCG00000004957	CLN6	protein_coding	gene	ENSSSCG00000004957
1	78758	ENSSSCG00000004861	TSHZ1	protein_coding	gene	ENSSSCG00000004861
1	10437	ENSSSCG00000032488	ZADH2	protein_coding	gene	ENSSSCG00000032488
1	45977	ENSSSCG00000053589	ENSSSCG00000053589	protein_coding	gene	ENSSSCG00000053589
1	46887	ENSSSCG00000004999	MIS18BP1	protein_coding	gene	ENSSSCG00000004999
1	4798	ENSSSCG00000047027	ENSSSCG00000047027	protein_coding	gene	ENSSSCG00000047027
1	378	ENSSSCG00000046029	ENSSSCG00000046029	protein_coding	gene	ENSSSCG00000046029
1	1365	ENSSSCG00000049486	ENSSSCG00000049486	protein_coding	gene	ENSSSCG00000049486
1	41114	ENSSSCG00000004869	CNDP1	protein_coding	gene	ENSSSCG00000004869
1	13055	ENSSSCG00000022419	FEM1B	protein_coding	gene	ENSSSCG00000022419
1	124188	ENSSSCG00000004961	ITGA11	protein_coding	gene	ENSSSCG00000004961
1	142411	ENSSSCG00000004962	CORO2B	protein_coding	gene	ENSSSCG00000004962
1	18664	ENSSSCG00000004870	CNDP2	protein_coding	gene	ENSSSCG00000004870
1	17699	ENSSSCG00000039486	DIPK1C	protein_coding	gene	ENSSSCG00000039486
1	102788	ENSSSCG00000004973	UACA	protein_coding	gene	ENSSSCG00000004973
1	21446	ENSSSCG00000004847	MPHOSPH10	protein_coding	gene	ENSSSCG00000004847
1	31486	ENSSSCG00000035696	MCEE	protein_coding	gene	ENSSSCG00000035696
1	243293	ENSSSCG00000004849	APBA2	protein_coding	gene	ENSSSCG00000004849
1	472170	ENSSSCG00000004850	FAM189A1	protein_coding	gene	ENSSSCG00000004850
1	265467	ENSSSCG00000004854	TJP1	protein_coding	gene	ENSSSCG00000004854
1	22264	ENSSSCG00000004974	LARP6	protein_coding	gene	ENSSSCG00000004974
1	156471	ENSSSCG00000004976	LRRC49	protein_coding	gene	ENSSSCG00000004976
1	1308	ENSSSCG00000033540	ENSSSCG00000033540	protein_coding	gene	ENSSSCG00000033540
1	38294	ENSSSCG00000054407	ENSSSCG00000054407	protein_coding	gene	ENSSSCG00000054407
1	19722	ENSSSCG00000036984	GALR1	protein_coding	gene	ENSSSCG00000036984
1	572396	ENSSSCG00000004980	THSD4	protein_coding	gene	ENSSSCG00000004980
1	37531	ENSSSCG00000004874	C18orf63	protein_coding	gene	ENSSSCG00000004874
1	35649	ENSSSCG00000004875	CYB5A	protein_coding	gene	ENSSSCG00000004875
1	5359	ENSSSCG00000004978	NR2E3	protein_coding	gene	ENSSSCG00000004978
1	1081	ENSSSCG00000037781	ENSSSCG00000037781	protein_coding	gene	ENSSSCG00000037781
1	55501	ENSSSCG00000005781	TARS3	protein_coding	gene	ENSSSCG00000005781
1	222102	ENSSSCG00000004979	MYO9A	protein_coding	gene	ENSSSCG00000004979
1	7136	ENSSSCG00000020859	CBLN2	protein_coding	gene	ENSSSCG00000020859
1	146121	ENSSSCG00000004843	TRPM1	protein_coding	gene	ENSSSCG00000004843
1	19939	ENSSSCG00000025616	SENP8	protein_coding	gene	ENSSSCG00000025616
1	6978	ENSSSCG00000026486	ENSSSCG00000026486	protein_coding	gene	ENSSSCG00000026486
1	2116	ENSSSCG00000024102	ENSSSCG00000024102	protein_coding	gene	ENSSSCG00000024102
1	1683	ENSSSCG00000026167	ENSSSCG00000026167	protein_coding	gene	ENSSSCG00000026167
1	25326	ENSSSCG00000004985	GEMIN2	protein_coding	gene	ENSSSCG00000004985
1	50040	ENSSSCG00000004844	MTMR10	protein_coding	gene	ENSSSCG00000004844
1	13178	ENSSSCG00000004986	TRAPPC6B	protein_coding	gene	ENSSSCG00000004986
1	48096	ENSSSCG00000004845	FAN1	protein_coding	gene	ENSSSCG00000004845
1	8355	ENSSSCG00000022828	PNN	protein_coding	gene	ENSSSCG00000022828
1	10710	ENSSSCG00000032494	TIMM21	protein_coding	gene	ENSSSCG00000032494
1	40048	ENSSSCG00000004873	FBXO15	protein_coding	gene	ENSSSCG00000004873
1	93297	ENSSSCG00000004983	ENSSSCG00000004983	protein_coding	gene	ENSSSCG00000004983
1	42998	ENSSSCG00000032214	SOCS6	protein_coding	gene	ENSSSCG00000032214
1	144443	ENSSSCG00000032574	RTTN	protein_coding	gene	ENSSSCG00000032574
1	97084	ENSSSCG00000038398	CD226	protein_coding	gene	ENSSSCG00000038398
1	396100	ENSSSCG00000028977	DOK6	protein_coding	gene	ENSSSCG00000028977
1	24482	ENSSSCG00000005782	TM2D3	protein_coding	gene	ENSSSCG00000005782
1	5012	ENSSSCG00000040252	ENSSSCG00000040252	protein_coding	gene	ENSSSCG00000040252
1	38602	ENSSSCG00000004989	FBXO33	protein_coding	gene	ENSSSCG00000004989
1	1550	ENSSSCG00000060343	ENSSSCG00000060343	protein_coding	gene	ENSSSCG00000060343
1	3394	ENSSSCG00000055452	ENSSSCG00000055452	protein_coding	gene	ENSSSCG00000055452
1	7720	ENSSSCG00000060182	ENSSSCG00000060182	protein_coding	gene	ENSSSCG00000060182
1	109151	ENSSSCG00000034963	ENSSSCG00000034963	protein_coding	gene	ENSSSCG00000034963
1	101685	ENSSSCG00000004075	RGS17	protein_coding	gene	ENSSSCG00000004075
1	11796	ENSSSCG00000004076	MTRF1L	protein_coding	gene	ENSSSCG00000004076
1	38428	ENSSSCG00000004077	FBXO5	protein_coding	gene	ENSSSCG00000004077
1	59474	ENSSSCG00000004101	LRP11	protein_coding	gene	ENSSSCG00000004101
1	51309	ENSSSCG00000004103	PCMT1	protein_coding	gene	ENSSSCG00000004103
1	6407	ENSSSCG00000004410	ENSSSCG00000004410	protein_coding	gene	ENSSSCG00000004410
1	18079	ENSSSCG00000004105	NUP43	protein_coding	gene	ENSSSCG00000004105
1	51887	ENSSSCG00000033739	ENSSSCG00000033739	protein_coding	gene	ENSSSCG00000033739
1	153378	ENSSSCG00000004405	FIG4	protein_coding	gene	ENSSSCG00000004405
1	99013	ENSSSCG00000004071	CNKSR3	protein_coding	gene	ENSSSCG00000004071
1	96505	ENSSSCG00000046319	IPCEF1	protein_coding	gene	ENSSSCG00000046319
1	173772	ENSSSCG00000004074	OPRM1	protein_coding	gene	ENSSSCG00000004074
1	5494	ENSSSCG00000026042	ULBP1	protein_coding	gene	ENSSSCG00000026042
1	32181	ENSSSCG00000004096	ENSSSCG00000004096	protein_coding	gene	ENSSSCG00000004096
1	4424	ENSSSCG00000041378	ENSSSCG00000041378	protein_coding	gene	ENSSSCG00000041378
1	2775	ENSSSCG00000004406	ENSSSCG00000004406	protein_coding	gene	ENSSSCG00000004406
1	167890	ENSSSCG00000004113	STXBP5	protein_coding	gene	ENSSSCG00000004113
1	72592	ENSSSCG00000004404	ENSSSCG00000004404	protein_coding	gene	ENSSSCG00000004404
1	53796	ENSSSCG00000004403	CDC40	protein_coding	gene	ENSSSCG00000004403
1	121956	ENSSSCG00000004402	METTL24	protein_coding	gene	ENSSSCG00000004402
1	26186	ENSSSCG00000004401	DDO	protein_coding	gene	ENSSSCG00000004401
1	44221	ENSSSCG00000004399	SLC22A16	protein_coding	gene	ENSSSCG00000004399
1	5946	ENSSSCG00000037803	MARCKS	protein_coding	gene	ENSSSCG00000037803
1	119193	ENSSSCG00000004388	ARMC2	protein_coding	gene	ENSSSCG00000004388
1	32221	ENSSSCG00000004390	SESN1	protein_coding	gene	ENSSSCG00000004390
1	74324	ENSSSCG00000043354	ENSSSCG00000043354	protein_coding	gene	ENSSSCG00000043354
1	158534	ENSSSCG00000004114	ADGB	protein_coding	gene	ENSSSCG00000004114
1	3791	ENSSSCG00000052903	ENSSSCG00000052903	protein_coding	gene	ENSSSCG00000052903
1	55962	ENSSSCG00000004391	CEP57L1	protein_coding	gene	ENSSSCG00000004391
1	22600	ENSSSCG00000052303	RAB32	protein_coding	gene	ENSSSCG00000052303
1	4138	ENSSSCG00000032525	ENSSSCG00000032525	protein_coding	gene	ENSSSCG00000032525
1	107931	ENSSSCG00000004415	ENSSSCG00000004415	protein_coding	gene	ENSSSCG00000004415
1	4065	ENSSSCG00000033578	ENSSSCG00000033578	protein_coding	gene	ENSSSCG00000033578
1	389636	ENSSSCG00000004119	GRM1	protein_coding	gene	ENSSSCG00000004119
1	16571	ENSSSCG00000004414	CD164	protein_coding	gene	ENSSSCG00000004414
1	82330	ENSSSCG00000004120	SHPRH	protein_coding	gene	ENSSSCG00000004120
1	45023	ENSSSCG00000004413	PPIL6	protein_coding	gene	ENSSSCG00000004413
1	13028	ENSSSCG00000004121	FBXO30	protein_coding	gene	ENSSSCG00000004121
1	8959	ENSSSCG00000004078	VIP	protein_coding	gene	ENSSSCG00000004078
1	3804	ENSSSCG00000004408	SMPD2	protein_coding	gene	ENSSSCG00000004408
1	11073	ENSSSCG00000004412	MICAL1	protein_coding	gene	ENSSSCG00000004412
1	15886	ENSSSCG00000031536	MYCT1	protein_coding	gene	ENSSSCG00000031536
1	216950	ENSSSCG00000004081	ENSSSCG00000004081	protein_coding	gene	ENSSSCG00000004081
1	17737	ENSSSCG00000004411	ZBTB24	protein_coding	gene	ENSSSCG00000004411
1	125688	ENSSSCG00000033392	SCML4	protein_coding	gene	ENSSSCG00000033392
1	10624	ENSSSCG00000049158	ENSSSCG00000049158	protein_coding	gene	ENSSSCG00000049158
1	77895	ENSSSCG00000004382	SEC63	protein_coding	gene	ENSSSCG00000004382
1	172848	ENSSSCG00000004082	ENSSSCG00000004082	protein_coding	gene	ENSSSCG00000004082
1	41755	ENSSSCG00000004383	OSTM1	protein_coding	gene	ENSSSCG00000004383
1	21640	ENSSSCG00000004384	NR2E1	protein_coding	gene	ENSSSCG00000004384
1	42881	ENSSSCG00000004385	SNX3	protein_coding	gene	ENSSSCG00000004385
1	224237	ENSSSCG00000040199	AFG1L	protein_coding	gene	ENSSSCG00000040199
1	132108	ENSSSCG00000004387	FOXO3	protein_coding	gene	ENSSSCG00000004387
